Year,Country / territory of asylum/residence,Location Name,Female 0-4,Female 5-11,Female 5-17,Female 12-17,Female 18-59,Female 60+,F: Unknown,F: Total,Male 0-4,Male 5-11,Male 5-17,Male 12-17,Male 18-59,Male 60+,M: Unknown,M: Total,Overall total
#date+year,#country+residence,#loc+name,#affected+f+children+age0_4,#affected+f+children+age5_11,#affected+f+children+age5_17,#affected+f+adolescents+age12_17,#affected+f+adults+age18_59,#affected+f+elderly+age60plus,#affected+f+other,#affected+f+total,#affected+m+children+age0_4,#affected+m+children+age5_11,#affected+m+children+age5_17,#affected+m+adolescents+age12_17,#affected+m+adults+age18_59,#affected+m+elderly+age60plus,#affected+m+other,#affected+m+total,#affected+all+total
2017,Colombia,Duitama : Point,,,,,,*,,*,,,,,,,,0
2017,Colombia,Ibagu?? : Point,,,,,*,,,*,,,,,*,,,*
2017,Colombia,La Ceja,,,,,*,,,*,*,*,,,*,,,*
2017,Colombia,La Paz,*,*,,*,*,,,*,,,,*,*,,,*
2017,Colombia,Maicao : Point,,*,,,*,,,*,,*,,*,*,,,*
2017,Colombia,Malambo,*,,,,*,,,*,*,,,,*,,,*
2017,Colombia,Medell?¡n : Point,,,,,*,*,,*,,*,,*,5,,,7
2017,Colombia,Pacho,,,,*,*,,,*,*,,,,,,,*
2017,Colombia,Palmira,,,,*,*,,,*,*,*,,,,,,*
2017,Colombia,Pasto,*,,,,*,,,*,,,,,*,,,*
2017,Colombia,Pereira : Municipality,,,,,,*,,*,,,,,*,,,*
2017,Colombia,Riohacha,*,*,,,*,,,6,,,,,*,,,*
2017,Colombia,Rionegro,,,,,*,,,*,,*,,*,*,,,6
2017,Colombia,San Andres Islas : Department,,,,,*,*,,*,,,,,*,*,,*
2017,Colombia,Soledad,,*,,,*,,,*,,*,,,*,,,*
2017,Colombia,Tulu?í : Point,,*,,,*,,,*,,*,,,*,,,*
2017,Colombia,Tumaco : Municipality,,,,*,*,,,*,,,,*,*,,,*
2017,Colombia,Valledupar,,*,,,*,*,,*,,*,,,*,*,,*
2018,Colombia,Arauca,14,30,,14,78,*,,139,22,24,,9,90,*,,149
2018,Colombia,Armenia,*,8,,0,20,*,,34,*,*,,*,17,0,,23
2018,Colombia,Barcelona : Point,0,0,,0,0,0,,0,0,0,,0,*,0,,*
2018,Colombia,Barranquilla,0,*,,*,15,*,,19,*,*,,*,12,0,,18
2018,Colombia,Bogota : Capital district,60,83,,47,466,29,,685,80,58,,57,666,23,,884
2018,Colombia,Bucaramanga : Municipality,0,8,,0,11,0,,19,*,*,,*,22,*,,30
2018,Colombia,Buenaventura : Point,0,0,,0,0,0,,0,0,0,,0,0,*,,*
2018,Colombia,Cali : Point,*,*,,*,18,0,,27,*,7,,6,23,*,,41
2018,Colombia,Cartagena : Point,*,*,,0,14,*,,18,*,*,,0,20,0,,25
2018,Colombia,Cúcuta: Point,33,43,,32,189,*,,301,49,45,,28,207,7,,336
2018,Colombia,Duitama : Point,0,0,,0,0,*,,*,0,0,,0,0,0,,0
2018,Colombia,Ibagué: Point,0,*,,*,5,0,,7,*,*,,0,7,0,,9
2018,Colombia,Leticia : Municipality,0,0,,0,*,0,,*,0,0,,0,0,0,,0
2018,Colombia,Maicao : Point,0,0,,0,*,0,,*,0,0,,0,*,0,,*
2018,Colombia,Manizales,0,*,,0,*,0,,*,0,0,,0,*,0,,*
2018,Colombia,Medellín: Point,7,*,,*,34,*,,50,*,10,,7,51,*,,73
2018,Colombia,Monteria,0,0,,*,*,0,,*,0,0,,0,*,0,,*
